[rosmaster.main][INFO] 2023-06-12 10:56:52,772: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-06-12 10:56:52,772: Starting ROS Master Node
[xmlrpc][INFO] 2023-06-12 10:56:52,774: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2023-06-12 10:56:52,774: Started XML-RPC server [http://humaid7madi-VirtualBox:11311/]
[xmlrpc][INFO] 2023-06-12 10:56:52,774: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-06-12 10:56:52,774: Master initialized: port[11311], uri[http://humaid7madi-VirtualBox:11311/]
[rosmaster.master][INFO] 2023-06-12 10:56:52,880: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-06-12 10:56:52,881: +PARAM [/roslaunch/uris/host_humaid7madi_virtualbox__43005] by /roslaunch
[rosmaster.master][INFO] 2023-06-12 10:56:52,909: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2023-06-12 10:56:52,910: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2023-06-12 10:56:52,966: +SERVICE [/rosout/get_loggers] /rosout http://humaid7madi-VirtualBox:39351/
[rosmaster.master][INFO] 2023-06-12 10:56:52,966: +SERVICE [/rosout/set_logger_level] /rosout http://humaid7madi-VirtualBox:39351/
[rosmaster.master][INFO] 2023-06-12 10:56:52,968: +PUB [/rosout_agg] /rosout http://humaid7madi-VirtualBox:39351/
[rosmaster.master][INFO] 2023-06-12 10:56:52,971: +SUB [/rosout] /rosout http://humaid7madi-VirtualBox:39351/
